@relation Training-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute ID numeric
@attribute score_tag {P,N,NEU,NONE,P+,N+}
@attribute agreement {DISAGREEMENT,AGREEMENT}
@attribute subjectivity {SUBJECTIVE,OBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute happy numeric
@attribute angry numeric
@attribute bored numeric
@attribute fear numeric
@attribute sad numeric
@attribute excited numeric
@attribute Class {0,1}

@data
206,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.225571,0.102497,0.059046,0.192681,0.070701,0.349505,0
207,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.124367,0.258068,0.045828,0.217589,0.182402,0.171746,0
208,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.125679,0.289191,0.054059,0.18086,0.146587,0.203624,1
209,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.164842,0.315875,0.011393,0.068425,0.02293,0.416536,1
210,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.023978,0.526698,0.034979,0.188309,0.179032,0.047003,1
211,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.238626,0.096828,0,0.122938,0.130963,0.410645,0
212,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.149234,0.242574,0.05259,0.158831,0.114089,0.282682,1
213,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.067724,0.390279,0.102896,0.142715,0.195515,0.100871,1
214,NEU,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.344184,0.061463,0.017146,0.112094,0.053749,0.411365,0
215,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.104774,0.220801,0.10887,0.240416,0.167572,0.157567,0
216,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.06685,0.405202,0.079807,0.175364,0.142188,0.13059,0
217,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.16451,0.193809,0.031215,0.197621,0.214302,0.198543,0
218,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.149818,0.253773,0.051793,0.180955,0.111708,0.251953,1
219,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.115806,0.110683,0.356567,0.129076,0.145803,0.142064,1
220,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.048153,0.306648,0.119829,0.205764,0.213508,0.106098,0
221,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.161003,0.172027,0.090855,0.209974,0.195628,0.170514,0
222,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.113935,0.36239,0.051608,0.170858,0.135872,0.165337,0
223,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.398298,0.106212,0,0.143467,0.076167,0.275856,1
224,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.157199,0.314484,0.029945,0.170458,0.177038,0.150876,1
225,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.089379,0.286723,0.050504,0.174913,0.113081,0.2854,1
226,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.184578,0.22415,0.037823,0.169082,0.135587,0.24878,0
227,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.323025,0.102921,0,0.132848,0.058312,0.382894,0
228,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.165803,0.293513,0.057524,0.148374,0.147538,0.187249,0
229,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.252588,0.189039,0.043806,0.18612,0.117127,0.211319,0
230,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.102869,0.180976,0.136583,0.259671,0.191491,0.128411,0
231,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.412062,0.058385,0.007652,0.068424,0.017649,0.435828,1
232,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.123841,0.295968,0.078223,0.159958,0.134125,0.207885,0
233,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.246996,0.191492,0.021816,0.135902,0.099247,0.304547,1
234,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.130051,0.154652,0.088404,0.262083,0.222715,0.142095,0
235,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.183465,0.11618,0.027145,0.255463,0.113857,0.303891,1
236,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.244137,0.154135,0.028509,0.164411,0.147548,0.261261,1
237,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.100639,0.101641,0.038848,0.130119,0.574389,0.054363,1
238,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.245598,0.187939,0.036525,0.079432,0.105849,0.344656,1
239,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.143279,0.157702,0.094389,0.27383,0.147838,0.182962,0
240,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.126688,0.165563,0.025285,0.187438,0.115918,0.379108,0
241,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.015348,0.230314,0.137151,0.126103,0.47369,0.017394,1
242,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.275514,0.09901,0.222825,0.097111,0.028014,0.277526,0
243,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.169102,0.128369,0.025006,0.116807,0.453468,0.107247,0
244,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.056141,0.24222,0.083078,0.275952,0.195043,0.147565,0
245,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.096675,0.336263,0.120687,0.168527,0.181263,0.096586,1
246,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.065607,0.300036,0.042935,0.214224,0.294661,0.082537,1
247,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.051361,0.213985,0.125634,0.245318,0.259642,0.104059,1
248,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.226276,0.145272,0.02489,0.13894,0.11402,0.350601,0
249,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.261609,0.226879,0.033416,0.120307,0.112886,0.244903,0
250,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.120818,0.316512,0.064938,0.179418,0.161448,0.156867,0
251,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.193357,0.211143,0.058383,0.134784,0.072548,0.329786,0
252,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.291569,0.090016,0.025837,0.105915,0.077006,0.409657,1
253,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.045081,0.343468,0.266666,0.123034,0.13705,0.0847,1
254,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.219841,0.152144,0.07676,0.142947,0.085807,0.3225,1
255,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.089842,0.233846,0.076771,0.270422,0.224629,0.104489,0
256,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.204695,0.137115,0.057383,0.215773,0.101659,0.283375,0
257,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.27842,0.12639,0.040863,0.190657,0.12813,0.23554,0
258,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.374759,0.095935,0,0.107493,0.137522,0.284291,1
259,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.081725,0.343245,0.093975,0.14062,0.253059,0.087376,0
260,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.056125,0.323889,0.081715,0.18258,0.271725,0.083966,1
261,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.120495,0.268191,0.139245,0.171631,0.175849,0.124589,0
262,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.250754,0.05296,0.010714,0.127305,0.011538,0.546729,1
263,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.289184,0.17213,0.045645,0.11157,0.076084,0.305386,0
264,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.147836,0.140627,0.102248,0.228304,0.124184,0.256801,0
265,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.068381,0.305712,0.156222,0.197458,0.192379,0.079848,0
266,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.149764,0.210224,0.075481,0.217503,0.17705,0.169978,1
267,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.199353,0.167381,0,0.251741,0.122935,0.258595,1
268,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.109127,0.329706,0.060749,0.173328,0.13805,0.18904,0
269,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.054146,0.231035,0.114338,0.242368,0.29706,0.061053,1
270,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.066927,0.394147,0.065396,0.171642,0.15173,0.150159,1
271,NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.106651,0.293469,0.037934,0.217484,0.139109,0.205353,1
272,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.039434,0.463046,0.06412,0.181383,0.132631,0.119386,0
273,NEU,DISAGREEMENT,OBJECTIVE,91,NONIRONIC,0.087692,0.488437,0.062873,0.127657,0.119911,0.11343,1
274,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.048596,0.398082,0.119157,0.168237,0.179813,0.086115,1
275,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.088022,0.360838,0.045876,0.205882,0.11541,0.183971,1
276,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.032684,0.677744,0.04271,0.04833,0.072582,0.125949,1
277,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.423603,0.12603,0.013506,0.069112,0.030793,0.336956,1
278,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.10805,0.295293,0.080422,0.212274,0.138508,0.165453,0
279,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.082102,0.085768,0.030439,0.214309,0.450968,0.136413,0
280,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.094419,0.233488,0.046027,0.234667,0.228399,0.162999,0
281,N+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.172481,0.259889,0,0.159316,0.132254,0.276061,1
282,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.028122,0.45234,0.083496,0.155192,0.223604,0.057246,1
283,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.059212,0.40095,0.179037,0.136677,0.146663,0.07746,1
284,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.242834,0.05672,0.027167,0.124671,0.079893,0.468715,0
285,N,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.25606,0.137592,0.025063,0.173254,0.106688,0.301343,1
286,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.111252,0.344441,0.046861,0.143495,0.156487,0.197465,1
287,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.073257,0.346523,0.089016,0.200018,0.190669,0.100517,0
288,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.048798,0.184494,0.180013,0.218542,0.279681,0.088471,1
289,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.135933,0.148996,0.118324,0.220958,0.149171,0.226619,0
290,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.108136,0.244246,0.065551,0.248401,0.193279,0.140387,1
291,N,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.103028,0.211838,0.03199,0.178364,0.159579,0.315201,1
292,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.316081,0.15745,0.021364,0.123497,0.090447,0.29116,1
293,N,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.087648,0.211515,0.091108,0.265592,0.247884,0.096254,0
294,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.019402,0.513369,0.080978,0.184196,0.158393,0.043661,1
295,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.04168,0.552827,0.129593,0.082961,0.135833,0.057107,1
296,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.127341,0.259033,0.025939,0.109782,0.201195,0.27671,0
297,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.05591,0.292735,0.072659,0.116461,0.404422,0.057813,1
298,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.260191,0.107387,0.038676,0.154728,0.150109,0.28891,1
299,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.287488,0.099233,0.017249,0.131832,0.059534,0.404664,1
300,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.336929,0.154263,0.04223,0.123569,0.089624,0.253384,1
301,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.025525,0.584971,0.097169,0.111346,0.134392,0.046597,1
302,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.169412,0.12883,0.030727,0.241145,0.234545,0.195341,0
303,P,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.174633,0.172599,0.070737,0.188695,0.205422,0.187913,1
304,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.277984,0.229452,0,0.12196,0.091165,0.27944,1
305,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.127078,0.085766,0.015601,0.092612,0.064324,0.614619,1
306,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.133453,0.187088,0.18118,0.169811,0.224078,0.104391,1
307,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.106287,0.353403,0.085759,0.192475,0.127669,0.134406,1
308,NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.150718,0.304923,0.075616,0.123364,0.158133,0.187246,1
309,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.040493,0.287155,0.029516,0.184935,0.388502,0.0694,0
310,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.194062,0.172471,0.032645,0.246208,0.127783,0.226831,0
311,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.079162,0.349534,0.05589,0.176658,0.149029,0.189727,0
312,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.03591,0.429946,0.129463,0.15139,0.181959,0.071332,1
313,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.172586,0.21317,0.047931,0.127554,0.095544,0.343216,0
314,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.216904,0.120106,0.112088,0.239932,0.105532,0.205438,0
315,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.399104,0.032273,0.008748,0.111517,0.092417,0.35594,0
316,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.097794,0.320746,0.061875,0.150531,0.102043,0.267011,0
317,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.240089,0.149739,0.024914,0.130954,0.047041,0.407263,1
318,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.033783,0.17486,0.029466,0.447924,0.257945,0.056024,0
319,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.234986,0.156278,0.061457,0.137106,0.093447,0.316727,1
320,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.299279,0.042371,0.125837,0.095179,0.016083,0.421251,0
321,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.14097,0.270729,0.079347,0.176988,0.140602,0.191363,0
322,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.135381,0.35115,0,0.085974,0.058538,0.368956,1
323,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.054785,0.271904,0.16837,0.213088,0.179356,0.112497,0
324,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.111761,0.344554,0.068449,0.119312,0.143892,0.212032,1
325,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.088404,0.13954,0.020328,0.051511,0.050331,0.649887,0
326,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.211429,0.101025,0.129366,0.1407,0.244533,0.172947,0
327,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.069172,0.248866,0.03436,0.14325,0.450049,0.054303,1
328,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.352288,0.120359,0.061002,0.107763,0.088231,0.270357,1
329,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.09454,0.30397,0.027865,0.254501,0.192054,0.127071,1
330,P,DISAGREEMENT,OBJECTIVE,91,NONIRONIC,0.094571,0.224549,0.086927,0.234286,0.069901,0.289767,1
331,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.134809,0.269638,0.032794,0.151926,0.114721,0.296113,1
332,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.120796,0.303549,0.05859,0.161655,0.124072,0.231338,0
333,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.078512,0.378428,0.062257,0.174005,0.169892,0.136906,1
334,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.152135,0.27478,0.032554,0.117051,0.115536,0.307943,1
335,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.152786,0.253613,0.073707,0.158849,0.201105,0.15994,1
336,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.079504,0.342942,0.11034,0.193744,0.137699,0.13577,0
337,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.187478,0.157844,0.122014,0.187865,0.138408,0.206391,1
338,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.104025,0.307976,0.084595,0.182607,0.133314,0.187483,1
339,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.023315,0.624128,0.065155,0.122711,0.107445,0.057247,1
340,P,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.30152,0.203732,0,0.130017,0.147828,0.216903,1
341,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.185294,0.279761,0.042393,0.15764,0.176562,0.158349,0
342,NEU,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.114683,0.263142,0.199705,0.150747,0.15192,0.119803,0
343,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.06674,0.303991,0.035485,0.174913,0.333559,0.085311,1
344,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.1129,0.239888,0.087765,0.24103,0.14651,0.171907,1
345,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.196889,0.204074,0.03571,0.139885,0.180998,0.242444,1
346,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.117119,0.312684,0.058917,0.146128,0.239597,0.125554,0
347,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.286395,0.099547,0.042792,0.209147,0.124436,0.237682,0
348,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.187275,0.213211,0.028366,0.183495,0.149728,0.237924,1
349,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.166284,0.166956,0.050275,0.230855,0.223194,0.162436,0
350,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.223013,0.144388,0.065372,0.144105,0.080073,0.343049,0
351,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.137083,0.312025,0.074848,0.169301,0.219158,0.087585,0
352,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.125034,0.356915,0.032256,0.158567,0.153749,0.173479,1
353,N,DISAGREEMENT,SUBJECTIVE,82,NONIRONIC,0.114753,0.213487,0.040632,0.245667,0.215823,0.169638,1
354,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.146299,0.252166,0.08489,0.163967,0.148096,0.204583,0
355,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.387907,0.075323,0.057489,0.100697,0.043716,0.334867,0
356,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.035499,0.17941,0.208636,0.215635,0.259356,0.101463,0
357,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.216019,0.331514,0.015945,0.085807,0.030344,0.320371,0
358,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.207662,0.239133,0.113191,0.148997,0.129284,0.161733,0
359,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.045041,0.32172,0.069532,0.222207,0.26218,0.079319,0
360,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.085457,0.321779,0.114325,0.149936,0.234617,0.093886,0
361,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.107628,0.307384,0.089349,0.128364,0.209424,0.15785,1
362,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.159752,0.370448,0.034679,0.136928,0.167441,0.130751,0
363,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.095472,0.161782,0.134067,0.299043,0.161328,0.148308,0
364,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.641389,0.013673,0.000316,0.019375,0.059314,0.265933,1
365,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.105627,0.369589,0.039139,0.184351,0.162233,0.139061,1
366,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.209179,0.355745,0.027256,0.112681,0.069513,0.225626,1
367,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.076828,0.153421,0.0705,0.15608,0.455246,0.087926,1
368,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.111037,0.275327,0.03991,0.241449,0.174476,0.157801,0
369,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.311859,0.048781,0.019672,0.15629,0.116457,0.346941,1
370,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.128568,0.186868,0.030786,0.131167,0.029402,0.493209,1
371,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.172565,0.103222,0.076292,0.236735,0.069168,0.342019,1
372,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.063256,0.170244,0.150904,0.27728,0.225142,0.113174,0
373,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.257256,0.180699,0.054411,0.132901,0.08266,0.292072,1
374,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.299403,0.099188,0.050476,0.117107,0.081121,0.352705,0
375,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.191623,0.17925,0.020385,0.128333,0.041268,0.43914,0
376,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.100665,0.269666,0.153043,0.206463,0.143227,0.126935,1
377,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.246288,0.128381,0.053249,0.223053,0.091807,0.257222,1
378,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.201421,0.119854,0.092795,0.183339,0.101952,0.30064,0
379,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.085177,0.102631,0.017473,0.412793,0.282666,0.099259,0
380,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.351913,0.169134,0.02722,0.140802,0.150417,0.160514,1
381,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.076669,0.342803,0.068904,0.173052,0.24516,0.093412,0
382,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.023752,0.520998,0.11813,0.123063,0.169889,0.044168,0
383,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.160494,0.070406,0,0.330959,0.071846,0.366295,1
384,P,DISAGREEMENT,OBJECTIVE,76,IRONIC,0.084213,0.145907,0.072851,0.285568,0.249969,0.161493,0
385,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.087758,0.242634,0.086679,0.179308,0.232571,0.171049,0
386,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.082316,0.33719,0.026631,0.24259,0.19555,0.115723,0
387,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.094467,0.205774,0.032363,0.279173,0.278618,0.109606,0
388,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.104099,0.256674,0.064572,0.191563,0.20208,0.181012,1
389,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.128943,0.239618,0.047124,0.145108,0.082193,0.357014,0
390,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.05534,0.110862,0.056492,0.247652,0.430708,0.098946,1
391,P,DISAGREEMENT,SUBJECTIVE,71,IRONIC,0.078223,0.188907,0.154486,0.191891,0.264659,0.121834,0
392,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.251191,0.162037,0.065891,0.117283,0.046033,0.357566,0
393,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.131754,0.110202,0.113984,0.286221,0.242693,0.115147,1
394,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.209206,0.080308,0.024194,0.297645,0.135161,0.253486,0
395,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.124424,0.269334,0.041056,0.131409,0.340703,0.093074,1
396,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.145751,0.23026,0.022676,0.162439,0.336806,0.102068,1
397,N+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.030846,0.483913,0.063436,0.156537,0.195511,0.069757,1
398,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.089055,0.188758,0.065144,0.22345,0.264822,0.16877,0
399,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.144285,0.305412,0.05921,0.145337,0.155393,0.190364,0
400,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.281178,0.137683,0.017711,0.116913,0.046877,0.399637,1
401,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.237755,0.144154,0.032793,0.122839,0.063773,0.398686,0
402,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.183732,0.109047,0.043507,0.280863,0.251439,0.131412,0
403,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.178266,0.145502,0.067127,0.235428,0.203242,0.170435,1
404,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.074993,0.361117,0.08682,0.174898,0.14702,0.155152,1
405,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.036578,0.108199,0.049844,0.22209,0.53496,0.048329,1
406,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.12492,0.195997,0.068324,0.195746,0.209955,0.205058,0
407,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.19463,0.135423,0.066874,0.209292,0.212177,0.181603,0
408,NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.040594,0.4012,0.072094,0.135848,0.232855,0.117408,0
409,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.354301,0.066708,0,0.178201,0.082962,0.317828,0
410,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.197893,0.135245,0.036346,0.114494,0.060353,0.455669,0
411,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.337571,0.118021,0.023611,0.110163,0.040867,0.369768,0
412,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.177973,0.216346,0.048335,0.203571,0.158296,0.19548,1
413,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.125527,0.235028,0.058996,0.222214,0.134278,0.223957,1
